gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,59,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),39.45,2320.43,No
Female,0,Yes,No,67,Yes,Yes,DSL,No,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,55.55,3426.77,No
Male,1,No,Yes,50,Yes,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),59.85,2926.19,No
Male,0,No,No,23,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),113.23,2627.73,No
Male,0,Yes,No,40,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,48.46,1886.96,Yes
Female,0,No,No,18,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),117.26,2143.85,No
Male,0,No,Yes,21,Yes,No,Fiber optic,Yes,No internet service,No,No,No,No,One year,Yes,Mailed check,30.88,711.39,No
Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,117.4,111.43,No
Male,0,No,No,38,Yes,No,DSL,No,No internet service,Yes,No,No,No,One year,Yes,Electronic check,42.33,1629.29,No
Female,0,Yes,No,41,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,36.78,1499.33,No
Male,0,No,No,42,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,32.01,1427.58,Yes
Male,0,No,No,9,No,No,No,Yes,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,51.63,447.47,Yes
Male,1,No,No,23,Yes,Yes,DSL,No internet service,Yes,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),81.66,1930.02,No
Male,0,No,No,11,Yes,No,Fiber optic,No,Yes,No internet service,No,No,Yes,Two year,Yes,Bank transfer (automatic),86.63,989.71,No
Female,0,No,No,71,Yes,No,No,Yes,No,Yes,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),57.0,4432.0,Yes
Male,0,No,Yes,31,Yes,No,Fiber optic,Yes,No,No,No internet service,No,Yes,One year,No,Credit card (automatic),43.08,1242.33,No
Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,119.5,3416.64,No
Female,1,No,Yes,30,Yes,No,No,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,47.06,1474.26,No
Female,0,No,Yes,34,No,No,No,No internet service,No,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),57.83,1949.05,No
Male,0,Yes,Yes,46,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,68.1,2984.47,Yes
Female,1,Yes,Yes,69,Yes,No,DSL,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Credit card (automatic),93.96,6650.12,Yes
Male,0,No,Yes,5,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,No internet service,Two year,Yes,Electronic check,35.21,163.44,No
Female,1,No,No,61,Yes,No phone service,DSL,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),46.61,3097.27,No
Female,0,Yes,Yes,38,Yes,No,DSL,No internet service,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),119.69,4261.16,No
Female,0,Yes,No,28,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,102.52,3028.04,No
Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No internet service,No,Month-to-month,Yes,Electronic check,64.39,1622.29,Yes
Female,0,No,No,61,Yes,Yes,No,No internet service,Yes,No,No internet service,Yes,No,One year,Yes,Mailed check,30.87,1776.05,No
Female,1,Yes,No,23,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,106.67,2604.87,No
Female,0,No,No,46,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,98.3,4872.54,Yes
Female,0,Yes,No,30,Yes,No,No,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),78.07,2110.52,Yes
Male,0,No,Yes,67,Yes,No phone service,DSL,No internet service,No,No,No internet service,No,No internet service,One year,Yes,Electronic check,60.45,4434.23,No
Male,0,Yes,No,33,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No,Two year,Yes,Credit card (automatic),113.56,3688.96,No
Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),49.57,136.7,No
Female,1,Yes,No,69,Yes,Yes,DSL,No,No,No internet service,No,No,Yes,One year,No,Credit card (automatic),52.09,3560.6,No
Female,0,No,No,42,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),107.55,4172.51,No
Male,0,Yes,No,62,Yes,No,DSL,No,No,No internet service,No,No,No internet service,Two year,No,Credit card (automatic),82.63,4875.9,No
Female,0,No,No,58,No,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,115.09,6752.0,Yes
Male,0,No,Yes,57,No,No,DSL,No,Yes,Yes,No internet service,No internet service,No,Two year,No,Electronic check,84.5,4680.86,No
Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,23.3,22.03,No
Male,0,No,Yes,60,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.68,2123.56,No
Male,1,No,No,69,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),48.18,3415.24,Yes
Male,0,Yes,Yes,59,Yes,Yes,DSL,Yes,No internet service,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),106.73,6813.04,No
Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,No,One year,No,Mailed check,103.09,4321.44,No
Female,0,Yes,No,34,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),99.03,3194.78,No
Female,1,No,No,25,Yes,No,DSL,No,No,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),75.35,1946.07,No
Female,0,No,No,42,Yes,Yes,DSL,No,No,Yes,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),33.9,1562.58,No
Female,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,Yes,One year,Yes,Electronic check,33.12,995.32,No
Male,0,No,Yes,25,Yes,No,DSL,No,No internet service,Yes,No,No,No,Two year,No,Electronic check,32.61,742.31,No
Female,0,No,No,54,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),105.46,5329.08,Yes
Female,0,No,No,67,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,34.16,2218.99,No
Male,0,No,No,15,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,100.85,1409.1,No
Female,0,No,No,4,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),104.47,391.33,No
Male,0,No,No,38,Yes,No,DSL,No,No,No,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),30.5,1106.53,No
Female,1,Yes,No,20,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),110.2,2147.92,Yes
Male,1,No,No,23,Yes,No phone service,No,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),109.75,2469.65,No
Female,0,No,No,37,Yes,Yes,DSL,No,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.82,3100.95,No
Female,0,No,No,62,No,No,DSL,No internet service,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),71.3,4799.21,No
Male,0,No,No,8,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),84.73,744.72,No
Male,0,No,No,37,Yes,Yes,No,No internet service,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),60.48,2022.81,No
Male,0,No,No,45,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),78.87,3544.73,No
Male,0,Yes,Yes,33,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,116.95,4053.92,No
Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),31.33,200.59,No
Male,1,No,No,22,Yes,No,No,No,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),43.38,1038.57,No
Male,0,No,Yes,5,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Mailed check,72.41,393.74,Yes
